"Segment"	"en-ZZ"	"be-BY"	"ID"	"File"
"4951"	"Nursing"	"Медыцынскі факультэт"	"q3MA160_question_question03_8_5c9d21377f8b91.80575787_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4933"	"Business"	"Факультэт бізнесу"	"q2MA160_question_question02_16_5c9d21377ddc20.75373773_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4225"	"A"	"А"	"MA149_stimulus2_img2Lbl1_5c9d2165299540.34702392_0"	"PISA_bel-BLR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4948"	"Agriculture"	"Агранамічны факультэт"	"q3MA160_question_question03_5_5c9d21377f8502.68715278_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4938"	"Computer Science"	"Факультэт інфарматыкі"	"q2MA160_question_question02_21_5c9d21377de1c0.64916093_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4936"	"Philosophy"	"Філасофскі факультэт"	"q2MA160_question_question02_19_5c9d21377ddf79.06991561_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4932"	"Agriculture"	"Агранамічны факультэт"	"q2MA160_question_question02_15_5c9d21377ddb03.03861880_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4939"	"Mathematics"	"Матэматычны факультэт"	"q2MA160_question_question02_22_5c9d21377de2f4.33135877_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5440"	"Population"	"Насель-ніцтва"	"js_translation_population_5c9d2137d7d9a3.64884104_0"	"PISA_bel-BLR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Націсніце на &lt;b&gt;Праўда&lt;/b&gt; ці &lt;b&gt;Няпраўда&lt;/b&gt; для кожнага сцверджання."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_bel-BLR_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4159"	"C"	"С"	"MA148_stimulus2_stimulus2_1_5c9d216518d045.04859359_0"	"PISA_bel-BLR_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"3981"	"Litres"	"Літры"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_bel-BLR_MAT_MA146-Fuel_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"Ці з'яўляюцца наступныя сцверджанні праўдзівымі?"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_bel-BLR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3201"	"A"	"А"	"Q1MA134_question_Q01tr3td1SELECT1o1_5c9d2164318d73.43327422_0"	"PISA_bel-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4598"	"A"	"З"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_bel-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5278"	"Mean"	"Сярэдняе значэнне"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_bel-BLR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4923"	"Business"	"Факультэт бізнесу"	"q2MA160_question_question02_7_5c9d21377dd0b1.66378605_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4949"	"Economics"	"Эканамічны факультэт"	"q3MA160_question_question03_6_5c9d21377f8797.20395231_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Каб выкарыстаць калькулятар, выканайце наступныя крокі:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_bel-BLR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4850"	"Mean"	"Сярэдняе значэнне"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4591"	"A"	"З"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_bel-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4924"	"Economics"	"Эканамічны факультэт"	"q2MA160_question_question02_8_5c9d21377dd1b7.58813656_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4581"	"A"	"З"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_bel-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Націсніце на два варыянты, каб адказаць на пытанне."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_bel-BLR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Націсніце на &lt;b&gt;Так&lt;/b&gt; ці &lt;b&gt;Не&lt;/b&gt; для кожнага са сцверджанняў."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3207"	"A"	"А"	"Q1MA134_question_Q01tr4td1SELECT1o1_5c9d21643194f1.20986162_0"	"PISA_bel-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Націсніце на &lt;b&gt;Праўда&lt;/b&gt; ці &lt;b&gt;Няпраўда&lt;/b&gt; для кожнага сцверджання."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_bel-BLR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4934"	"Economics"	"Эканамічны факультэт"	"q2MA160_question_question02_17_5c9d21377ddd47.26582454_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4925"	"Nursing"	"Медыцынскі факультэт"	"q2MA160_question_question02_9_5c9d21377dd2c3.00485134_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4928"	"Computer Science"	"Факультэт інфарматыкі"	"q2MA160_question_question02_12_5c9d21377dd5d0.16308587_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4590"	"D"	"Д"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_bel-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_bel-BLR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4922"	"Agriculture"	"Агранамічны факультэт"	"q2MA160_question_question02_6_5c9d21377dcfb6.94851687_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4950"	"Engineering"	"Інжынерны факультэт"	"q3MA160_question_question03_7_5c9d21377f8996.86724095_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4927"	"Engineering"	"Інжынерны факультэт"	"q2MA160_question_question02_11_5c9d21377dd4c2.29118327_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Націсніце на &lt;b&gt;Так&lt;/b&gt; ці &lt;b&gt;Не&lt;/b&gt; для кожнага са сцверджанняў."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_bel-BLR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4929"	"Mathematics"	"Матэматычны факультэт"	"q2MA160_question_question02_13_5c9d21377dd6f6.01697125_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3195"	"A"	"А"	"Q1MA134_question_Q01tr2td1SELECT1o1_5c9d2164318520.98922600_0"	"PISA_bel-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5019"	"Mean"	"Сярэдняе значэнне"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_bel-BLR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4580"	"D"	"Д"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_bel-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Каб выкарыстаць калькулятар, выканайце наступныя крокі:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_bel-BLR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3329"	"A"	"А"	"CMA135_question3_question03_19_5c9d2164520b42.34486685_0"	"PISA_bel-BLR_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Націсніце на &lt;b&gt;Праўда&lt;/b&gt; ці &lt;b&gt;Няпраўда&lt;/b&gt; для кожнага са сцверджанняў, прыведзеных ніжэй.&lt;br /&gt;"	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_bel-BLR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Выберыце варыянт з выпадаючых меню, каб адказаць на пытанне."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_bel-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Выберыце варыянт з выпадальных меню, каб адказаць на пытанне."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_bel-BLR_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4578"	"A"	"З"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_bel-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4214"	"A"	"А"	"MA149_stimulus1_img1Lbl1_5c9d2165288f09.35660227_0"	"PISA_bel-BLR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4926"	"Philosophy"	"Філасофскі факультэт"	"q2MA160_question_question02_10_5c9d21377dd3c3.69694845_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Памятайце, што трэба выбраць &lt;b&gt;адзін ці болей&lt;/b&gt; варыянтаў."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_bel-BLR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4935"	"Nursing"	"Медыцынскі факультэт"	"q2MA160_question_question02_18_5c9d21377dde66.88213774_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5075"	"Statement"	"Пытанне"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_bel-BLR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Выберыце варыянт з выпадаючых меню, каб адказаць на пытанне."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_bel-BLR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4597"	"D"	"Д"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_bel-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4577"	"D"	"Д"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_bel-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Выберыце варыянт з выпадальных меню, каб адказаць на пытанне."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_bel-BLR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Выберыце варыянт з выпадальных меню, каб адказаць на пытанне."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4161"	"C"	"С"	"MA148_stimulus2_stimulus2_2_5c9d216518d1c3.39500236_0"	"PISA_bel-BLR_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 кДж"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_bel-BLR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4937"	"Engineering"	"Інжынерны факультэт"	"q2MA160_question_question02_20_5c9d21377de093.24438410_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3189"	"A"	"А"	"Q1MA134_question_Q01tr1td1SELECT1o1_5c9d2164317bf7.69076389_0"	"PISA_bel-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
