"Segment"	"en-ZZ"	"el-CY"	"ID"	"File"
"913"	"Use the Metabolism Calculator to help you answer the question below."	"Να χρησιμοποιήσεις την Υπολογιστική Μηχανή για τον Υπολογισμό του Μεταβολισμού, για να απαντήσεις στην ερώτηση που ακολουθεί."	"MA112_question01_q01itemDirections_5c9d2136e3a9b3.53191528_1_0"	"PISA_ell-QCY_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Να χρησιμοποιήσεις τη λειτουργία &quot;σύρε και τοποθέτησε&quot;, για να απαντήσεις στην ερώτηση."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_ell-QCY_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Για να χρησιμοποιήσεις την υπολογιστική μηχανή, να ακολουθήσεις αυτά τα βήματα:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_ell-QCY_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4591"	"A"	"Ζ"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_ell-QCY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4578"	"A"	"Ζ"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_ell-QCY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4598"	"A"	"Ζ"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_ell-QCY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4580"	"D"	"Τ"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_ell-QCY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"460"	"Click on &lt;img id=&quot;upArrowMenu&quot;  class=&quot;upArrow&quot; src=&quot;image/unsortedWhite-rev.png&quot;/&gt; to &lt;b&gt;sort&lt;/b&gt; the data in a column in &lt;u&gt;descending&lt;/u&gt; (high to low) order."	"Να κάνεις κλικ ξανά στο εικονίδιο με το βελάκι για να &lt;b&gt;ταξινομήσεις&lt;/b&gt; τα δεδομένα μιας στήλης κατά &lt;u&gt;φθίνουσα σειρά&lt;/u&gt; (από το μεγαλύτερο στο μικρότερο)."	"menu_1_aMenu_part1_li1_5c9d2136792c79.52079192_0"	"PISA_ell-QCY_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Μην ξεχάσεις να επιλέξεις &lt;b&gt; ένα ή περισσότερα&lt;/b&gt; τετραγωνάκια."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_ell-QCY_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"&lt;i&gt;Να επιλέξεις από τις πτυσσόμενες λίστες, για να απαντήσεις στην ερώτηση&lt;/i&gt;."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_ell-QCY_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"Να κάνεις κλικ σε ένα ή περισσότερα τετραγωνάκια, για να απαντήσεις στην ερώτηση."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_ell-QCY_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3981"	"Litres"	"Λίτρα"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_ell-QCY_MAT_MA146-Fuel_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Να χρησιμοποιήσεις τη λειτουργία &quot;σύρε και τοποθέτησε&quot;, για να απαντήσεις στην ερώτηση."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_ell-QCY_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"5075"	"Statement"	"Ερώτηση"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_ell-QCY_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3201"	"A"	"Α"	"Q1MA134_question_Q01tr3td1SELECT1o1_5c9d2164318d73.43327422_0"	"PISA_ell-QCY_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"&lt;i&gt;Να επιλέξεις από τις πτυσσόμενες λίστες, για να απαντήσεις στην ερώτηση&lt;/i&gt;."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_ell-QCY_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"Να χρησιμοποιήσεις τη λειτουργία &quot;σύρε και τοποθέτησε&quot;, για να απαντήσεις στην ερώτηση."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_ell-QCY_MAT_MA157-Tyres_en21_MS2022.xlf"
"4597"	"D"	"Τ"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_ell-QCY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4577"	"D"	"Τ"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_ell-QCY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Μην ξεχάσεις να επιλέξεις &lt;b&gt; ένα ή περισσότερα&lt;/b&gt; τετραγωνάκια."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_ell-QCY_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4581"	"A"	"Ζ"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_ell-QCY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Να κάνεις κλικ σε δύο τετραγωνάκια, για να απαντήσεις στην ερώτηση."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_ell-QCY_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Μην ξεχάσεις να επιλέξεις &lt;b&gt;ένα ή περισσότερα&lt;/b&gt; τετραγωνάκια."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_ell-QCY_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3195"	"A"	"Α"	"Q1MA134_question_Q01tr2td1SELECT1o1_5c9d2164318520.98922600_0"	"PISA_ell-QCY_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1048"	"65+"	"66+"	"MA113S02_stimulus_T02tr3td7_5c9d214a6674b1.26334003_0"	"PISA_ell-QCY_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"Να κάνεις κλικ σε ένα ή περισσότερα τετραγωνάκια, για να απαντήσεις στην ερώτηση."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_ell-QCY_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3207"	"A"	"Α"	"Q1MA134_question_Q01tr4td1SELECT1o1_5c9d21643194f1.20986162_0"	"PISA_ell-QCY_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5364"	"Which country had a decrease in the percent of its population living in urban areas between 1970 and 2010?"	"Ποια χώρα είχε μείωση, σε ποσοστιαίες μονάδες, του ποσοστού του πληθυσμού της που κατοικούσε σε αστικές περιοχές ανάμεσα στο 1970 και το 2010;"	"q2MA161_question_q2tr3td1_5c9d2137d32ee4.65713675_0"	"PISA_ell-QCY_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3189"	"A"	"Α"	"Q1MA134_question_Q01tr1td1SELECT1o1_5c9d2164317bf7.69076389_0"	"PISA_ell-QCY_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"924"	"Use the Metabolism Calculator to help you answer the question below."	"Να χρησιμοποιήσεις την Υπολογιστική Μηχανή για τον Υπολογισμό του Μεταβολισμού, για να απαντήσεις στην ερώτηση που ακολουθεί."	"MA112_question02_q02itemDirections_5c9d2136e4d2d8.51779790_1_0"	"PISA_ell-QCY_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"Να κάνεις κλικ σε ένα ή περισσότερα τετραγωνάκια, για να απαντήσεις στην ερώτηση."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_ell-QCY_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Για να χρησιμοποιήσεις την υπολογιστική μηχανή, ακολούθησε αυτά τα βήματα:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_ell-QCY_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"Οι παρακάτω προτάσεις είναι σωστές ή λάνθασμένες;"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_ell-QCY_MAT_MA144-Yogurt_en21_MS2022.xlf"
"990"	"65+"	"66+"	"MA113S02_stimulus_tr3td7_5c9d214a662766.11417679_0"	"PISA_ell-QCY_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_ell-QCY_MAT_MA113-HeartRate_en21_MS2022.xlf"
"113"	"Click on one or more boxes to answer the question."	"Να κάνεις κλικ σε ένα ή περισσότερα τετραγωνάκια, για να απαντήσεις στην ερώτηση."	"M102_question1_itemDirections1_5c9d21362bedf1.13468059_1_0"	"PISA_ell-QCY_MAT_MA102-BuyingAWardrobe_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"Να κάνεις κλικ σε ένα ή περισσότερα τετραγωνάκια, για να απαντήσεις στην ερώτηση."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_ell-QCY_MAT_MA114-Honey_en21_MS2022.xlf"
"3329"	"A"	"Α"	"CMA135_question3_question03_19_5c9d2164520b42.34486685_0"	"PISA_ell-QCY_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"4590"	"D"	"Τ"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_ell-QCY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"Να χρησιμοποιήσεις τη λειτουργία &quot;σύρε και τοποθέτησε&quot;, για να απαντήσεις στην ερώτηση."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_ell-QCY_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
