"Segment"	"en-ZZ"	"pl-PL"	"ID"	"File"
"4590"	"D"	"G"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_pol-POL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Zastosuj funkcję przeciągnij i upuść, aby odpowiedzieć na pytanie."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_pol-POL_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Aby skorzystać z kalkulatora, wykonaj poniższe kroki."	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_pol-POL_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"Czy poniższe stwierdzenia są prawdziwe czy fałszywe?"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_pol-POL_MAT_MA144-Yogurt_en21_MS2022.xlf"
"2732"	"Click on the choices in the table to answer the question."	"Kliknij, aby wybrać odpowiedzi w tabeli."	"MA130_question02_itemDirectionsQ02_5c9d214b8c2531.90987341_1_0"	"PISA_pol-POL_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_pol-POL_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Pamiętaj, aby zaznaczyć &lt;b&gt;jedną lub więcej&lt;/b&gt; odpowiedzi."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_pol-POL_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Uzasadnij swoją odpowiedź za pomocą liczb."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_pol-POL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4580"	"D"	"G"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_pol-POL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Wybierz odpowiedź na pytanie z rozwijanego menu."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_pol-POL_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4591"	"A"	"S"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_pol-POL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Uzasadnij swoją odpowiedź za pomocą liczb."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_pol-POL_MAT_MA146-Fuel_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"Zaznacz kliknięciem jedną lub więcej odpowiedzi."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_pol-POL_MAT_MA114-Honey_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Zastosuj funkcję przeciągnij i upuść, aby odpowiedzieć na pytanie."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_pol-POL_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Wybierz odpowiedź na pytanie z rozwijanego menu."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_pol-POL_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4581"	"A"	"S"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_pol-POL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4578"	"A"	"S"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_pol-POL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3321"	"0.9"	"0,9"	"CMA135_question3_yAxisLbl3_5c9d216451f684.81333145_0"	"PISA_pol-POL_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Zaznacz kliknięciem dwie odpowiedzi."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_pol-POL_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"5075"	"Statement"	"Pytanie"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_pol-POL_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Pamiętaj, aby zaznaczyć &lt;b&gt;jedną lub więcej&lt;/b&gt; odpowiedzi."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_pol-POL_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4700"	"Construction Vehicle"	"Pojazdu budowlanego"	"q2MA157_question_question02_5_5c9d216572f2a6.82105559_0"	"PISA_pol-POL_MAT_MA157-Tyres_en21_MS2022.xlf"
"3322"	"0.6"	"0,6"	"CMA135_question3_yAxisLbl2_5c9d216451f7b9.05703906_0"	"PISA_pol-POL_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Kliknij &lt;b&gt;Prawda&lt;/b&gt; lub &lt;b&gt;Fałsz&lt;/b&gt; dla każdego stwierdzenia."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_pol-POL_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4701"	"Motorcycle"	"Motocykla"	"q2MA157_question_question02_6_5c9d216572f4d8.24396304_0"	"PISA_pol-POL_MAT_MA157-Tyres_en21_MS2022.xlf"
"1130"	"Click on the choices in the table to answer the question."	"Kliknij, aby wybrać odpowiedzi w tabeli."	"Q02MA113_question_Q02itemDirections_5c9d214a6c39e7.02495684_1_0"	"PISA_pol-POL_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4702"	"Truck"	"Pick-upa"	"q2MA157_question_question02_7_5c9d216572f717.86101949_0"	"PISA_pol-POL_MAT_MA157-Tyres_en21_MS2022.xlf"
"4598"	"A"	"S"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_pol-POL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"Zastosuj funkcję przeciągnij i upuść, aby odpowiedzieć na pytanie."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_pol-POL_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"4380"	"Click on the choices in the table to answer the question."	"Kliknij, aby wybrać odpowiedzi w tabeli."	"q1MA151_question_q1itemDirections_5c9d2165424791.67979223_1_0"	"PISA_pol-POL_MAT_MA151-MovingOut_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Kliknij, aby wybrać odpowiedź, a następnie wpisz wyjaśnienie, uzasadniając swój wybór ."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_pol-POL_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4699"	"Car"	"Samochodu"	"q2MA157_question_question02_4_5c9d216572f050.52985827_0"	"PISA_pol-POL_MAT_MA157-Tyres_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_pol-POL_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"Zastosuj funkcję przeciągnij i upuść, aby odpowiedzieć na pytanie."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_pol-POL_MAT_MA157-Tyres_en21_MS2022.xlf"
"5421"	"This is what happens when you select Columns C and B and “Subtract” for the operation, and then click the “Run” button."	"Oto wynik, jaki uzyskamy, wybierając kolumny C i B oraz działanie „Odejmij”, a następnie klikając „Uruchom”."	"js_translation_steperror2_5c9d2137d726c8.68091520_0"	"PISA_pol-POL_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt;Łącznie&lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_pol-POL_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1432"	"Click on the choices in the table to answer the question."	"Kliknij, aby wybrać odpowiedzi w tabeli."	"MA117_question04_q04itemDirections_5c9d214ab14856.16755359_1_0"	"PISA_pol-POL_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4597"	"D"	"G"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_pol-POL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Aby skorzystać z kalkulatora, wykonaj poniższe kroki."	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_pol-POL_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Pamiętaj o zaznaczeniu &lt;b&gt;jednego lub kilku&lt;/b&gt; pól."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_pol-POL_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3174"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt;Łącznie&lt;/b&gt;"	"MA134_stimulus3_stimulus03_57_5c9d21642f4bf9.88936552_0"	"PISA_pol-POL_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3912"	"Click on the choices in the table to answer the question."	"Kliknij, aby wybrać odpowiedzi w tabeli."	"q3MA144_question_q3itemDirections_5c9d2164d14836.39405170_1_0"	"PISA_pol-POL_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"Zaznacz kliknięciem jedną lub więcej odpowiedzi."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_pol-POL_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4337"	"United Kingdom"	"Zjednoczone Królestwo"	"MA151_stimulus_cntLbl20_5c9d21654089f0.65656520_0"	"PISA_pol-POL_MAT_MA151-MovingOut_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"Zaznacz kliknięciem jedną lub więcej odpowiedzi."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_pol-POL_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4764"	"Click on the choices in the table to answer the question."	"Kliknij, aby wybrać odpowiedzi w tabeli."	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_pol-POL_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3981"	"Litres"	"Litrów"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_pol-POL_MAT_MA146-Fuel_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"Kliknij, aby wybrać odpowiedzi w tabeli."	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_pol-POL_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"4577"	"D"	"G"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_pol-POL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"Zaznacz kliknięciem jedną lub więcej odpowiedzi."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_pol-POL_MAT_MA149-FloorArea_en21_MS2022.xlf"
