"Segment"	"en-ZZ"	"ru-RU"	"ID"	"File"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Помните, что можно выбрать &lt;b&gt;один или более&lt;/b&gt; вариантов ответа."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_rus-RUS_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Помните, что можно выбрать &lt;b&gt;один или более&lt;/b&gt; вариантов ответа."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_rus-RUS_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4627"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение к нему."	"q3MA154_question_q3itemDirections_5c9d21655e7133.54272172_1_0"	"PISA_rus-RUS_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4948"	"Agriculture"	"Сельскохозяйственный"	"q3MA160_question_question03_5_5c9d21377f8502.68715278_0"	"PISA_rus-RUS_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4202"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение к нему."	"q3MA148_question_q3itemDirections_5c9d21651d9930.88789683_1_0"	"PISA_rus-RUS_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Для ответа на вопрос используйте метод «Перетащить и оставить»."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_rus-RUS_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4590"	"D"	"П"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_rus-RUS_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4932"	"Agriculture"	"Сельскохозяйственный"	"q2MA160_question_question02_15_5c9d21377ddb03.03861880_0"	"PISA_rus-RUS_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Выберите ответ на вопрос из выпадающих меню."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_rus-RUS_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_rus-RUS_MAT_MA113-HeartRate_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Выберите ответ на вопрос из выпадающих меню."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_rus-RUS_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5075"	"Statement"	"Вопрос"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_rus-RUS_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4778"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение к нему."	"q3MA158_question_q3itemDirections_5c9d21657e1f71.24263233_1_0"	"PISA_rus-RUS_MAT_MA158-EyeColour_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Отметьте &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt; «Нет»&lt;/b&gt; для каждого утверждения."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_rus-RUS_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение к нему."	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_rus-RUS_MAT_MA156-Points_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Для ответа на вопрос отметьте два варианта ответа."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_rus-RUS_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4598"	"A"	"Д"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_rus-RUS_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1727"	"5 stars"	"5 звёзд"	"question0a_1_Q00tr2td1_5c9d214b0037c7.14409063_0"	"PISA_rus-RUS_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Отметьте &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt; «Нет»&lt;/b&gt; для каждого утверждения."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_rus-RUS_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 кДж"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_rus-RUS_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Для ответа на вопрос используйте метод «Перетащить и оставить»."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_rus-RUS_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Чтобы воспользоваться калькулятором, выполните следующие действия:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_rus-RUS_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4922"	"Agriculture"	"Сельскохозяйственный"	"q2MA160_question_question02_6_5c9d21377dcfb6.94851687_0"	"PISA_rus-RUS_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4578"	"A"	"Д"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_rus-RUS_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4577"	"D"	"П"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_rus-RUS_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1697"	"5 stars"	"5 звёзд"	"Page03_stimulus_S03T2tr2td1_5c9d214af20227.41283365_0"	"PISA_rus-RUS_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4597"	"D"	"П"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_rus-RUS_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Отметьте &lt;b&gt;«Верно»&lt;/b&gt; или &lt;b&gt;«Неверно»&lt;/b&gt; для каждого утверждения."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_rus-RUS_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4265"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение к нему."	"q3MA149_question_q3itemDirections_5c9d21652d7289.76917872_1_0"	"PISA_rus-RUS_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4591"	"A"	"Д"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_rus-RUS_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение к нему."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_rus-RUS_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1657"	"5 stars"	"5 звёзд"	"Page03_stimulus_S03tr2td1_5c9d214af1ca00.98625007_0"	"PISA_rus-RUS_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4581"	"A"	"Д"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_rus-RUS_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Выберите ответ на вопрос из выпадающих меню."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_rus-RUS_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"Для ответа на вопрос отметьте один или более вариантов ответа."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_rus-RUS_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"Для ответа на вопрос используйте метод «Перетащить и оставить»."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_rus-RUS_MAT_MA157-Tyres_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"Для ответа на вопрос используйте метод «Перетащить и оставить»."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_rus-RUS_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3981"	"Litres"	"Литры"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_rus-RUS_MAT_MA146-Fuel_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Чтобы воспользоваться калькулятором, выполните следующие действия:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_rus-RUS_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4337"	"United Kingdom"	"Соединённое Королевство"	"MA151_stimulus_cntLbl20_5c9d21654089f0.65656520_0"	"PISA_rus-RUS_MAT_MA151-MovingOut_en21_MS2022.xlf"
"4011"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение к нему."	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_rus-RUS_MAT_MA146-Fuel_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"Для ответа на вопрос отметьте один или более вариантов ответа."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_rus-RUS_MAT_MA114-Honey_en21_MS2022.xlf"
"1621"	"5 stars"	"5 звёзд"	"Page02_stimulus_S02tr2td1_5c9d214af00428.31642796_0"	"PISA_rus-RUS_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"Для ответа на вопрос отметьте один или более вариантов ответа."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_rus-RUS_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1567"	"5 stars"	"5 звёзд"	"Page01_stimulus_S01tr2td1_5c9d214aee4117.90212647_0"	"PISA_rus-RUS_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4580"	"D"	"П"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_rus-RUS_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение к нему."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_rus-RUS_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Запишите цифрами ответы на вопрос."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_rus-RUS_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4306"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение к нему."	"q3MA150_question_q3itemDirections_5c9d216539ff89.14130320_1_0"	"PISA_rus-RUS_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
