"Segment"	"en-ZZ"	"da-DK"	"ID"	"File"
"3057"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R552_question03_q03itemDirections_56fd794260f3e6.11870453_1_0"	"PISA_dan-DNK_REA_R552-FestiRock_en18_MS2022.xlf"
"4552"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_1_0"	"PISA_dan-DNK_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1050"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below.&lt;br /&gt; &lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products.&lt;br /&gt; &lt;b&gt;4/ Send&lt;/b&gt;, within 15 days of purchase, to the following address:&lt;br /&gt;"	"&lt;b&gt;2/ Udfyld&lt;/b&gt; blanketten nedenfor.&lt;br /&gt; &lt;b&gt;3/ Vedlæg&lt;/b&gt; en kopi af din kvittering samt stregkode(r) eller prismærke(r) fra de originale produkter.&lt;br /&gt; &lt;b&gt;4/ Send dette &lt;/b&gt; inden 15 dage fra købsdato til følgende adresse:&lt;br /&gt;"	"R466_stimulus_section2_50c7c927492c68.42476026_0"	"PISA_dan-DNK_REA_R466-WorkRight_en15_MS2022.xlf"
"2561"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R549_question06_q06itemDirections_56fc786ad2b6d6.09014130_1_0"	"PISA_dan-DNK_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2427"	"Graphic Novel"	"Billedroman"	"R547_question10_q10t2r7c2_56fc782e158fe8.95342582_0"	"PISA_dan-DNK_REA_R547-BookSurvey_en18_MS2022.xlf"
"5825"	"Playground"	"Legepladsen"	"q5R569_question_question05_4_56fc7879535184.90433446_0"	"PISA_dan-DNK_REA_R569-TheCleanup_en18_MS2022.xlf"
"6014"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R570_question05_q05itemDirections_56fc78797d7529.74542919_1_0"	"PISA_dan-DNK_REA_R570-TheFavour_en18_MS2022.xlf"
"2390"	"Graphic Novel"	"Billedroman"	"R547_question10_q10t1r3c2_56fc782e14e633.69091002_0"	"PISA_dan-DNK_REA_R547-BookSurvey_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Klik på en af valgmulighederne og skriv derefter en forklaring for at besvare spørgsmålet."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_dan-DNK_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2847"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R550_question05_q05itemDirections_56fc785ce59224.28868554_1_0"	"PISA_dan-DNK_REA_R550-CliffPalace_en18_MS2022.xlf"
"2003"	"&lt;i&gt;Refer to “Man of the Future” on the right."	"&lt;i&gt;Tag udgangspunkt i ”En fremtidens mand” til højre."	"R544_question8_itemDirections_56fc7821801f42.81584931_0_0"	"PISA_dan-DNK_REA_R544-Tesla_en18_MS2022.xlf"
"1066"	"What is the total value of the Work Right office supplies* that you have purchased?&lt;br /&gt;"	"Hvad er den samlede værdi af de KON2RET kontorartikler*, som du har købt?&lt;br /&gt;"	"R466_stimulus_section3_50c7c927496d56.19163394_0"	"PISA_dan-DNK_REA_R466-WorkRight_en15_MS2022.xlf"
"1889"	"Click on a choice to answer the question.&lt;/i&gt;"	"Klik på en af svarmulighederne for at besvare spørgsmålet.&lt;/i&gt;"	"R544_question11_itemDirections_56fc782169f054.65729882_1_0"	"PISA_dan-DNK_REA_R544-Tesla_en18_MS2022.xlf"
"5622"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R568_question08_q08itemDirections_56fc784aadc160.19925657_1_0"	"PISA_dan-DNK_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3717"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Tag udgangspunkt i begge kilder til højre og skift i mellem dem ved at klikke på fanerne."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_dan-DNK_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5008"	"Then click on the NEXT arrow."	"Klik derefter på NÆSTE-pilen.&lt;/i&gt;"	"q00b-body_q00b-itemDirections_56fc786b7c7802.60907040_1_0"	"PISA_dan-DNK_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5824"	"Benches"	"Bænkene"	"q5R569_question_question05_3_56fc7879534d97.39141400_0"	"PISA_dan-DNK_REA_R569-TheCleanup_en18_MS2022.xlf"
"4516"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_1_0"	"PISA_dan-DNK_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"6028"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R570_question06_q06itemDirections_56fc78797f34f1.87101971_1_0"	"PISA_dan-DNK_REA_R570-TheFavour_en18_MS2022.xlf"
"3549"	"Web Search"	"Internetsøgning"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_dan-DNK_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"320"	"LOCATION"	"STED"	"R219_stimulus_sect4Line2span2_50c7b7573e02b5.45462938_0"	"PISA_dan-DNK_REA_R219-Employment_en15_MS2022.xlf"
"3994"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R560_question06_q06itemDirections_56fc784a7f68d8.83936530_1_0"	"PISA_dan-DNK_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5586"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R568_question06_q06itemDirections_56fc784aaa2498.41264310_1_0"	"PISA_dan-DNK_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3739"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Tag udgangspunkt i begge kilder til højre og skift i mellem dem ved at klikke på fanerne."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_dan-DNK_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3241"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R553_question2_q02itemDirections_56fc784a5d6452.10662812_1_0"	"PISA_dan-DNK_REA_R553-HealthForum_en18_MS2022.xlf"
"4567"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_1_0"	"PISA_dan-DNK_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2547"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R549_question05_q05itemDirections_56fc786ad175f6.19547762_1_0"	"PISA_dan-DNK_REA_R549-MessageInABottle_en18_MS2022.xlf"
"854"	"&lt;i&gt;Refer to &quot;How to Find a Summer Job&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Brug informationerne i teksten &quot;Hvordan du finder et sommerjob&quot; til højre. Skriv dit svar på spørgsmålet.&lt;/i&gt;"	"R453_question_itemDirections_50c7b1d0a9b165.42170614_0"	"PISA_dan-DNK_REA_R453-SummerJob_en15_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Klik på NÆSTE-pilen for at læse historien."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_dan-DNK_REA_R570-TheFavour_en18_MS2022.xlf"
"2012"	"&lt;i&gt;Refer to “Man of the Future” on the right."	"&lt;i&gt;Tag udgangspunkt i ”En fremtidens mand” til højre."	"R544_question9_itemDirections_56fc782181a288.51990939_0_0"	"PISA_dan-DNK_REA_R544-Tesla_en18_MS2022.xlf"
"1977"	"Click on a choice to answer the question.&lt;/i&gt;"	"Klik på en af svarmulighederne for at besvare spørgsmålet.&lt;/i&gt;"	"R544_question5_itemDirections_56fc78217cc282.26999608_1_0"	"PISA_dan-DNK_REA_R544-Tesla_en18_MS2022.xlf"
"4147"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R561_question03_q03itemDirections_56fc785d2a1ae0.05518128_1_0"	"PISA_dan-DNK_REA_R561-OlympicFlag_en18_MS2022.xlf"
"567"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;SYDPOLEN - DOKUMENT 1&lt;/b&gt;"	"R220_stimulus_title_50c7c02b201824.95363428_0"	"PISA_dan-DNK_REA_R220-SouthPole_en15_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Tag udgangspunkt i begge kilder til højre og skift i mellem dem ved at klikke på fanerne."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_dan-DNK_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1914"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Tag udgangspunkt i begge kilder til højre og skift i mellem dem ved at klikke på fanerne."	"R544_question13_itemDirections_56fc7821777325.89058352_0_0"	"PISA_dan-DNK_REA_R544-Tesla_en18_MS2022.xlf"
"4536"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_1_0"	"PISA_dan-DNK_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5520"	"Refer to the Web Search on the right."	"Tag udgangspunkt i internetsøgningen til højre."	"R568_question01_q01itemDirections_56fc784aa350d1.09869742_0_0"	"PISA_dan-DNK_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5975"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R570_question03_q03itemDirections_56fc78797a3fe7.10691677_1_0"	"PISA_dan-DNK_REA_R570-TheFavour_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Klik på NÆSTE-pilen for at se hjemmesiden."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_dan-DNK_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4182"	"Use drag and drop to answer the question."	"Træk elementerne op for at besvare spørgsmålet.&lt;/i&gt;"	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_dan-DNK_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3028"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R552_question01_q01itemDirections_56fd79425dd6c9.52135901_1_0"	"PISA_dan-DNK_REA_R552-FestiRock_en18_MS2022.xlf"
"513"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;SYDPOLEN - DOKUMENT 2&lt;/b&gt;"	"R220_stimulus_title_50c7c02b1c40a9.26710590_0"	"PISA_dan-DNK_REA_R220-SouthPole_en15_MS2022.xlf"
"5664"	"Who's in the Chat"	"Hvem er på chatten"	"R569_stimulus1_chatMemberListTitle2_56fc787947dab7.14177325_0"	"PISA_dan-DNK_REA_R569-TheCleanup_en18_MS2022.xlf"
"5557"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R568_question03_q03itemDirections_56fc784aa61dd0.11236281_1_0"	"PISA_dan-DNK_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1760"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Tag udgangspunkt i begge kilder til højre og skift imellem dem ved at klikke på fanerne."	"R543_question9_itemDirections_56fc78213f7142.41939392_0_0"	"PISA_dan-DNK_REA_R543-Nobel_en18_MS2022.xlf"
"4920"	"Web Search"	"Internetsøgning"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_dan-DNK_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5251"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R567_question04_q04itemDirections_56fc78790f8a73.23597526_1_0"	"PISA_dan-DNK_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5073"	"Refer to the Web Search on the right."	"Tag udgangspunkt i internetsøgningen til højre."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_dan-DNK_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5043"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R566_question03_q03itemDirections_56fc786b848714.63479915_1_0"	"PISA_dan-DNK_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5057"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R566_question04_q04itemDirections_56fc786b86c2c3.21174983_1_0"	"PISA_dan-DNK_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5775"	"Use drag and drop to answer the question."	"Træk elementerne op for at besvare spørgsmålet.&lt;/i&gt;"	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_dan-DNK_REA_R569-TheCleanup_en18_MS2022.xlf"
"313"	"PHONE"	"TLF.NR."	"R219_stimulus_sect3Line2span3_50c7b7573dd8c0.29529624_0"	"PISA_dan-DNK_REA_R219-Employment_en15_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Ved køb mellem kr. 600 og kr. 1.499,95 refunderer Kon2ret kr. &lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt;.&lt;br /&gt; &gt; Ved køb mellem kr. 1.500 og kr. 2.999,95 refunderer Kon2ret kr. 500.&lt;br /&gt; &gt; Ved køb på kr. 3.000 eller mere refunderer Kon2ret kr. 1.000.&lt;br /&gt;"	"R466_stimulus_line5_50c7c9274929e2.31854388_0"	"PISA_dan-DNK_REA_R466-WorkRight_en15_MS2022.xlf"
"5230"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R567_question02_q02itemDirections_56fc78790d2db7.39880018_1_0"	"PISA_dan-DNK_REA_R567-SmokeJumpers_en18_MS2022.xlf"
