"Segment"	"en-ZZ"	"fi-FI"	"ID"	"File"
"2663"	"Halogen"	"Halogeenilamppu"	"sim_1_q02sim5_51940c102b2833.62847084_0"	"PISA_fin-FIN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2698"	"Halogen"	"Halogeenilamppu"	"stimulus_1_stimuluslb4label_51940c102e6424.85106393_0"	"PISA_fin-FIN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"Avun tarjoaminen luonnontuhojen uhreille"	"S514_question3_tr4td1_50ed2939481f23.78807456_0"	"PISA_fin-FIN_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2450"	"None"	"Ei yhtään"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"750"	"Digestive Juices"	"Ruoansula-&lt;br /&gt;tusnesteitä"	"S498_stimulus2_label4_50ec5c51ae8dd4.87717035_0"	"PISA_fin-FIN_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2631"	"CFL light bulbs"	"Pienloisteputkesta"	"question5_1_question5_6_51940c10266be3.09555400_0"	"PISA_fin-FIN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2546"	"S629 Solar Cooker"	"S638 Öljyvuodot"	"S629_stimulus0_unknownID_51804fe18d9562.55221986_0"	"PISA_fin-FIN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2243"	"None"	"Ei yhtään"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2458"	"High"	"Paljon"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2376"	"decrease"	"pienenee"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"130"	"&lt;i&gt;Refer to &quot;Wild Oat Grass&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Tarkastele oikealla olevaa &quot;Hukkakaura&quot; -tekstiä. Vastaa napsauttamalla yhtä vaihtoehtoa.&lt;/i&gt;"	"S408_question4_itemDirections_4_50ec39a3916df6.32619989_0"	"PISA_fin-FIN_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"1523"	"Medium"	"Kohtalaisen kalteva"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_fin-FIN_SCI_S615-Tsunami_en15_MS2022.xlf"
"2453"	"High"	"Paljon"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2008"	"&lt;b&gt;Solar Cooker&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Aurinkokeitin&lt;/b&gt;&lt;br /&gt; Tehtävä"	"S629_question2_qitemTitle2_515e3a72813533.60651738_0"	"PISA_fin-FIN_SCI_S629-SolarCooker_en15_MS2022.xlf"
"645"	"Bacteria"	"Bakteerit"	"S478_question1_question1_3_50ed1cd98ab5c9.61996706_0"	"PISA_fin-FIN_SCI_S478-Antibiotics_en15_MS2022.xlf"
"737"	"No"	"EI"	"S498_question3_question3_2_50ec5c51ab9475.67156817_0"	"PISA_fin-FIN_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"1465"	"&lt;b&gt;Brain-Controlled Robotics&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Aivo-ohjattua robotiikkaa&lt;/b&gt;&lt;br /&gt; Tehtävä"	"S610_question2_QitemTitle2_51804e6bcf3483.26385704_0"	"PISA_fin-FIN_SCI_S610-Brain-controlledRobotics_en15_MS2022.xlf"
"2457"	"Medium"	"Kohta-&lt;br /&gt;laisesti"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1619"	"Medium"	"Kohtalaisen kalteva"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_fin-FIN_SCI_S615-Tsunami_en15_MS2022.xlf"
"2245"	"Medium"	"Kohta-&lt;br /&gt;laisesti"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2025"	"&lt;b&gt;Solar Cooker&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Aurinkokeitin&lt;/b&gt;&lt;br /&gt; Tehtävä"	"S629_question3_qitemTitle3_515e3a7284a079.58349031_0"	"PISA_fin-FIN_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2768"	"Delete some data to run more trials."	"Poista dataa, jotta voit tehdä uusia kokeita."	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_fin-FIN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1769"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt; Muista valita &lt;b&gt;yksi tai useampi &lt;/b&gt; vaihtoehto.&lt;/i&gt;"	"S625_question3_Reminder_515e3a72606b12.91412290_0"	"PISA_fin-FIN_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"2500"	"Disadvantage"	"Haittapuoli"	"S638_question2_header2_51804fe1804f46.37227767_0"	"PISA_fin-FIN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2741"	"&lt;i&gt;Refer to &quot;Carbon Dioxide in Earth's Atmosphere&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Vastaa tehtävään oikealla olevan &quot;Hiilidioksidi Maan ilmakehässä” -aineiston pohjalta. Kirjoita vastauksesi tyhjään tilaan.&lt;/i&gt;"	"S645_question5_itemDirections5_5180507a838228.62321589_0"	"PISA_fin-FIN_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"925"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Kaupunkien lämpösaarekevaikutus &lt;/b&gt;&lt;br /&gt; Tehtävä"	"S602_question4_qitemTitle4_515e3a71ecc5d8.94269684_0"	"PISA_fin-FIN_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2452"	"Medium"	"Kohta-&lt;br /&gt;laisesti"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Voidaanko tähän kysymykseen vastata tieteellisten kokeiden avulla?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_fin-FIN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2833"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Tässä tehtävässä sinun ei tarvitse käyttää simulaatiota. Vastaa napsauttamalla vaihtoehtoa ja kirjoittamalla sitten perustelusi tyhjään tilaan.&lt;/i&gt;"	"question6_1_itemDirections06_51940c103ebfe4.25149254_0"	"PISA_fin-FIN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1005"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Norsut ja akaasiat &lt;/b&gt;&lt;br /&gt; Tehtävä"	"S603_question2_itemTitle2_515e3a7205e4b9.11233983_0"	"PISA_fin-FIN_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2211"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔&lt;i&gt; Muista valita &lt;b&gt;yksi tai useampi&lt;/b&gt; vaihtoehto.&lt;/i&gt;"	"CS634_Q05_p52_5193fde5a49981.31413934_0"	"PISA_fin-FIN_SCI_S634-Vaccination_en15_MS2022.xlf"
"2783"	"This simulation allows you to observe the results of a reaction between substance A and substance B. You will explore how the volumes of the two substances affect both the size of the particles produced and the reaction time."	"Voit tarkastella tämän simulaation avulla aineiden A ja B välistä reaktiota. Tutkit, miten aineiden tilavuus vaikuttaa syntyvien hiukkasten kokoon ja reaktioaikaan."	"question1_1_q01p1_51940c1035b265.52697733_0"	"PISA_fin-FIN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1053"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Norsut ja akaasiat &lt;/b&gt;&lt;br /&gt; Tehtävä"	"S603_question5_itemTitle5_515e3a720cc5f5.49479568_0"	"PISA_fin-FIN_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1027"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Norsut ja akaasiat &lt;/b&gt;&lt;br /&gt; Tehtävä"	"S603_question3_itemTitle3_515e3a72087006.23988915_0"	"PISA_fin-FIN_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"936"	"lower"	"matalampia"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_fin-FIN_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2451"	"Low"	"Vähän"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1478"	"&lt;b&gt;Brain-Controlled Robotics&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Aivo-ohjattua robotiikkaa&lt;/b&gt;&lt;br /&gt; Tehtävä"	"S610_question4_itemTitle4_51804e6bd26341.00497826_0"	"PISA_fin-FIN_SCI_S610-Brain-controlledRobotics_en15_MS2022.xlf"
"2976"	"Caterpillar"	"Toukka"	"S657_question1_source1_518050dc4065d2.43433896_0"	"PISA_fin-FIN_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2246"	"High"	"Paljon"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2244"	"Low"	"Vähän"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2455"	"None"	"Ei yhtään"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1040"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Norsut ja akaasiat &lt;/b&gt;&lt;br /&gt; Tehtävä"	"S603_question4_itemTitle4_515e3a720a7527.26314932_0"	"PISA_fin-FIN_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"792"	"The use of science to predict natural disasters"	"Tieteen hyödyntäminen luonnontuhojen ennustamisessa"	"S514_question3_tr2td1_50ed2939481231.41396133_0"	"PISA_fin-FIN_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2610"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Suorita simulaatio kerätäksesi alla esitettyihin tietoihin perustuvaa dataa. Vastaa napsauttamalla yhtä tai useampaa vaihtoehtoa.&lt;/i&gt;"	"question4_1_itemDirections04_51940c1024b383.82866558_0"	"PISA_fin-FIN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"935"	"higher"	"korkeampia"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_fin-FIN_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2407"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔&lt;i&gt; Muista valita &lt;b&gt;yksi tai useampi&lt;/b&gt; vaihtoehto.&lt;/i&gt;"	"S662_question7_q7p3_51940bae49c112.44979934_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2341"	"decrease"	"pienenee"	"question3_1_o3_2_51940bae4048a1.83833544_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"71"	"Carbohydrates"	"Hiilihydraatteja"	"S326_stimulus1_t1tr4td1_50ec49534041b5.62516202_0"	"PISA_fin-FIN_SCI_S326-Milk_en15_MS2022.xlf"
"2122"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Suorita simulaatio kerätäksesi alla esitettyihin tietoihin perustuvaa dataa. Vastaa napsauttamalla yhtä tai useampaa vaihtoehtoa.&lt;/i&gt;"	"question1_1_itemDirections01_5193fde59b12f6.84296644_0"	"PISA_fin-FIN_SCI_S634-Vaccination_en15_MS2022.xlf"
"2623"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then select data in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Suorita simulaatio kerätäksesi alla esitettyihin tietoihin perustuvaa dataa. Vastaa napsauttamalla yhtä vaihtoehtoa ja valitsemalla sitten dataa taulukosta.&lt;/i&gt;"	"question5_1_itemDirections05_51940c10264da7.01923279_0"	"PISA_fin-FIN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2372"	"decrease"	"pienenee"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2632"	"LED light bulbs"	"LED-lampusta"	"question5_1_question5_7_51940c10266fe0.14307762_0"	"PISA_fin-FIN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"736"	"Yes"	"KYLLÄ"	"S498_question3_question3_1_50ec5c51ab8c24.71181065_0"	"PISA_fin-FIN_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2633"	"Halogen light bulbs"	"Halogeenilampusta"	"question5_1_question5_8_51940c10267417.00337851_0"	"PISA_fin-FIN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1138"	"Explain why.&lt;br /&gt;"	"Selitä miksi.&lt;br /&gt;"	"S604_question4_q45_51804e6bc71e39.55952968_0"	"PISA_fin-FIN_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"1681"	"May"	"Touko"	"S620_Q2_xq25_51740713a0a6b5.88203009_0"	"PISA_fin-FIN_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2125"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔&lt;i&gt; Muista valita &lt;b&gt;yksi tai useampi&lt;/b&gt; vaihtoehto.&lt;/i&gt;"	"question1_1_q1p3_5193fde59b26d2.60726263_0"	"PISA_fin-FIN_SCI_S634-Vaccination_en15_MS2022.xlf"
"2345"	"decrease"	"pienenee"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2057"	"&lt;b&gt;Solar Cooker&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Aurinkokeitin&lt;/b&gt;&lt;br /&gt; Tehtävä"	"S629_question4_itemTitle4_515e3a728ade67.00540204_0"	"PISA_fin-FIN_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2630"	"Incandescent light bulbs"	"Hehkulampusta"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_fin-FIN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2456"	"Low"	"Vähän"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
