"Segment"	"en-ZZ"	"he-IL"	"ID"	"File"
"935"	"higher"	"גבוהות יותר"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_heb-ISR_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1964"	"S627 Car Tyres Q03"	"S627 צמיגי המכונית Q03"	"S627_question3_unknownID_51740713b48de2.13083217_0"	"PISA_heb-ISR_SCI_S627-CarTyres_en15_MS2022.xlf"
"465"	"&lt;b&gt;Bacteria In Milk&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;חיידקים בחלב&lt;/b&gt;&lt;br /&gt; שאלה"	"S428_question3_itemTitle3_50ec525c341d23.95956289_0"	"PISA_heb-ISR_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"2344"	"increase"	"תגדל"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_heb-ISR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2455"	"None"	"אפסית"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_heb-ISR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"822"	"B"	"ב"	"S527_question1_tr1th3_1_50ec1f8066a906.13062460_0"	"PISA_heb-ISR_SCI_S527-ExtinctionOfTheDinosaurs_en15_MS2022.xlf"
"2229"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"יפה מאוד!&lt;br /&gt; כדי להמשיך לחצו על החץ &quot;הבא&quot;."	"stimulus_1_dialogMsgText2_5193fde5a8ae93.22557935_0"	"PISA_heb-ISR_SCI_S634-Vaccination_en15_MS2022.xlf"
"1523"	"Medium"	"בינוני"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_heb-ISR_SCI_S615-Tsunami_en15_MS2022.xlf"
"452"	"&lt;b&gt;Bacteria In Milk&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;חיידקים בחלב&lt;/b&gt;&lt;br /&gt; שאלה"	"S428_question2_itemTitle2_50ec525c31bed8.93064254_0"	"PISA_heb-ISR_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"1768"	"&lt;b&gt;✓&lt;/b&gt;"	"&lt;br /&gt; &lt;b&gt;&amp;check;&lt;/b&gt;"	"S625_question3_checkmark_515e3a72606930.00791547_0"	"PISA_heb-ISR_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"מתן סיוע לקרבנות של אסונות טבע"	"S514_question3_tr4td1_50ed2a4b8be011.60684841_0"	"PISA_heb-ISR_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2492"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;כדי לענות על השאלה, גררו את החסרונות למקומות המתאימים.&lt;/i&gt;"	"S638_question2_itemDirections2_51804fe1801be5.09391575_0"	"PISA_heb-ISR_SCI_S638-OilSpills_en15_MS2022.xlf"
"2696"	"Compact CFL"	"פלואורסצנטית קומפקטית"	"stimulus_1_stimuluslb2label_51940c102e5b47.55394349_0"	"PISA_heb-ISR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2341"	"decrease"	"תקטן"	"question3_1_o3_2_51940bae4048a1.83833544_0"	"PISA_heb-ISR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1055"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;כדי לענות על השאלה, סמנו את תשובתכם. &lt;/i&gt;"	"S603_question5_itemDirections5_515e3a720ccc26.65539143_0"	"PISA_heb-ISR_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2774"	"The Run button to display the results."	"הכפתור &quot;הפעלה&quot;, שלחיצה עליו מציגה את התוצאות."	"menu_1_menuLi3_51940c103317a2.93942447_0"	"PISA_heb-ISR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2092"	"To run this simulation, you can use the following controls:"	"כדי להפעיל את ההדמיה תוכלו להשתמש בכפתורים האלה:"	"menu_1_aMenuP3_5193fde5960855.32998808_0"	"PISA_heb-ISR_SCI_S634-Vaccination_en15_MS2022.xlf"
"2345"	"decrease"	"תקטן"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_heb-ISR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"803"	"&lt;b&gt;DEVELOPMENT AND DISASTER&lt;/b&gt;"	"&lt;b&gt;פיתוח ואסון&lt;/b&gt;"	"S514_stimulus2_title2_50ed2a4b8e7423.65903313_0"	"PISA_heb-ISR_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2375"	"increase"	"גדלה"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_heb-ISR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;כדי לאסוף נתונים, הפעילו את ההדמיה בהתאם למידע המופיע למטה. כדי לענות על השאלה, סמנו את תשובתכם והקלידו את ההסבר.&lt;/i&gt;"	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_heb-ISR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1699"	"S620 Tornadoes Q03"	"S620 סופות טורנדו Q04"	"S620_question3_unknownID_51740713a2e581.39006046_0"	"PISA_heb-ISR_SCI_S620-Tornadoes_en15_MS2022.xlf"
"976"	"Rural"	"כפרי"	"S602_stimulus2_le3_515e3a71f29bc9.05626063_0"	"PISA_heb-ISR_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2973"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;כדי לענות על השאלה, גררו את האיורים למקומות המתאימים.&lt;/i&gt;"	"S657_question1_itemDirections1_518050dc4052f0.99989837_0"	"PISA_heb-ISR_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"236"	"Melting point"	"נקודת התכה"	"S413_question3_q3t1tr2td1_50ec42bdb0c978.07169419_0"	"PISA_heb-ISR_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1379"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;היעזרו בקטע &quot;אמוניטים&quot; שבצד שמאל. כדי לענות על השאלה,  גררו את העובדות למקום הנכון.&lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_heb-ISR_SCI_S608-Ammonoids_en15_MS2022.xlf"
"1619"	"Medium"	"בינוני"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_heb-ISR_SCI_S615-Tsunami_en15_MS2022.xlf"
"1042"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;כדי לענות על השאלה, סמנו את תשובתכם. &lt;/i&gt;"	"S603_question4_itemDirections4_515e3a720a7b99.14171118_0"	"PISA_heb-ISR_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"261"	"Density"	"צפיפות"	"S413_question3_q3t3tr3td1_50ec42bdb13a84.32546462_0"	"PISA_heb-ISR_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2585"	"In this simulation, you will be able to see how different types of light bulbs with different power levels function. The light bulb tester will show the amount of light output (measured in lumens) as well as the light bulb's efficiency (measured in lumens per watt)."	"בהדמיה זו תוכלו לבדוק כיצד נורות מסוגים שונים פועלות בהספקים שונים. בודק הנורות מראה את תפוקת האור (הנמדדת בלוּמֵנים) וכן את יעילות הנורה (הנמדדת בלוּמֵנים לוואט)."	"question2_1_Q02P1_51940c1020aec2.48208157_0"	"PISA_heb-ISR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"272"	"Density"	"צפיפות"	"S413_question3_q3t4tr3td1_50ec42bdb17002.56194423_0"	"PISA_heb-ISR_SCI_S413-PlasticAge_en15_MS2022.xlf"
"259"	"Melting point"	"נקודת התכה"	"S413_question3_q3t3tr2td1_50ec42bdb13199.74797859_0"	"PISA_heb-ISR_SCI_S413-PlasticAge_en15_MS2022.xlf"
"242"	"Resistance to UV-radiation"	"עמידות בקרינה אולטרה-סגולה"	"S413_question3_q3t1tr5td1_50ec42bdb0e670.99520408_0"	"PISA_heb-ISR_SCI_S413-PlasticAge_en15_MS2022.xlf"
"315"	"&lt;i&gt;Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;כדי לענות על השאלה, סמנו את תשובותיכם בטבלה.&lt;/i&gt;"	"S415_question3_itemDirections3_50ec3df84497f2.39281282_0"	"PISA_heb-ISR_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"645"	"Bacteria"	"חיידקים"	"S478_question1_question1_3_50ed1de5da0ad7.20960246_0"	"PISA_heb-ISR_SCI_S478-Antibiotics_en15_MS2022.xlf"
"936"	"lower"	"נמוכות יותר"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_heb-ISR_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2372"	"decrease"	"קטנה"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_heb-ISR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2340"	"increase"	"תגדל"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_heb-ISR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"247"	"Melting point"	"נקודת התכה"	"S413_question3_q3t2tr2td1_50ec42bdb0fe82.04397001_0"	"PISA_heb-ISR_SCI_S413-PlasticAge_en15_MS2022.xlf"
"253"	"Resistance to UV-radiation"	"עמידות בקרינה אולטרה-סגולה"	"S413_question3_q3t2tr5td1_50ec42bdb114f3.20803688_0"	"PISA_heb-ISR_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2768"	"Delete some data to run more trials."	"כדי להפעיל את ההדמיה פעם נוספת, מחקו שורת נתונים אחת."	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_heb-ISR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2371"	"increase"	"גדלה"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_heb-ISR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2376"	"decrease"	"קטנה"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_heb-ISR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"האם אפשר לענות על השאלה הזאת באמצעות ניסויים מדעיים?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_heb-ISR_SCI_S638-OilSpills_en15_MS2022.xlf"
"2243"	"None"	"אפסית"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_heb-ISR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"821"	"A"	"א"	"S527_question1_tr1th2_1_50ec1f8066a6c9.92545677_0"	"PISA_heb-ISR_SCI_S527-ExtinctionOfTheDinosaurs_en15_MS2022.xlf"
"2471"	"S638 Oil Spills Introduction"	"S638 דליפות נפט Q01"	"S638_question1_unknownID_51804fe17c3778.86826459_0"	"PISA_heb-ISR_SCI_S638-OilSpills_en15_MS2022.xlf"
"792"	"The use of science to predict natural disasters"	"שימוש בידע מדעי כדי לצפות מראש אסונות טבע"	"S514_question3_tr2td1_50ed2a4b8bd3b9.40951160_0"	"PISA_heb-ISR_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"276"	"Resistance to UV-radiation"	"עמידות בקרינה אולטרה-סגולה"	"S413_question3_q3t4tr5td1_50ec42bdb18239.33365234_0"	"PISA_heb-ISR_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2450"	"None"	"אפסית"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_heb-ISR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"205"	"&lt;i&gt;Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;כדי לענות על השאלה, סמנו את תשובותיכם בטבלה.&lt;/i&gt;"	"S413_question2_itemDirections2_50ec42bdae1493.54777102_0"	"PISA_heb-ISR_SCI_S413-PlasticAge_en15_MS2022.xlf"
