"Segment"	"en-ZZ"	"ru-KZ"	"ID"	"File"
"2872"	"Uranus"	"Уран"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_rus-KAZ_SCI_S648-HabitableZone_en15_MS2022.xlf"
"53"	"&lt;i&gt;Refer to &quot;Milk&quot; on the right.  Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Посмотрите на задание «Молоко» справа. Выберите ответ и кликните по нему мышью.&lt;/i&gt;"	"S326_question2_itemDirections2_56cee1d36c0141.67643457_0"	"PISA_rus-KAZ_SCI_S326-Milk_en18_MS2022.xlf"
"1290"	"Birds and Caterpillars Introduction"	"Птицы и гусеницы: введение"	"S607_stimulus1_attr_alt_attr_stimulus1_3_517407135d4900.63824973_0"	"PISA_rus-KAZ_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2711"	"To see how all the controls in this simulation work, follow these steps:"	"Чтобы увидеть, как работают различные элементы управления в этой симуляции, выполните следующие шаги:"	"question1_1_q01p2_51940c1035b545.11039704_0"	"PISA_rus-KAZ_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2537"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Выполните симуляцию для получения данных на основании приведённой ниже информации. Выберите одну или несколько ячеек и кликните по ним мышью для ответа на вопрос.&lt;/i&gt;"	"question4_1_itemDirections04_51940c1024b383.82866558_0"	"PISA_rus-KAZ_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2266"	"select"	"Выберите"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1291"	"Birds and Caterpillars Introduction"	"Птицы и гусеницы: введение"	"S607_stimulus1_attr_alt_attr_stimulus1_4_517407135d4b29.16028951_0"	"PISA_rus-KAZ_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2377"	"None"	"Нет"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2385"	"High"	"Высокая"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1696"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt; Помните, что можно выбрать &lt;b&gt;одну или несколько&lt;/b&gt; ячеек.&lt;/i&gt;"	"S625_question3_Reminder_515e3a72606b12.91412290_0"	"PISA_rus-KAZ_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"230"	"Resistance to UV-radiation"	"Устойчивость к ультрафиолетовому излучению"	"S413_question3_q3t2tr5td1_56cee1d38a8513.58262653_0"	"PISA_rus-KAZ_SCI_S413-PlasticAge_en18_MS2022.xlf"
"1546"	"Medium"	"Средний"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_rus-KAZ_SCI_S615-Tsunami_en15_MS2022.xlf"
"2298"	"increase"	"увеличивается"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2384"	"Medium"	"Средняя"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"219"	"Resistance to UV-radiation"	"Устойчивость к ультрафиолетовому излучению"	"S413_question3_q3t1tr5td1_56cee1d38a4e83.26780812_0"	"PISA_rus-KAZ_SCI_S413-PlasticAge_en18_MS2022.xlf"
"2379"	"Medium"	"Средняя"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2302"	"increase"	"увеличивается"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2704"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Чтобы выбрать строку с данными для ответа на вопрос, нажмите в любом месте этой строки. Выбранная вами строка (строки) будет помечена звездочкой."	"menu_1_menuP5_51940c10332141.68408868_0"	"PISA_rus-KAZ_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1274"	"Birds leave nests"	"Птицы покидают гнёзда"	"S607_stimulus1_sl04_517407135cdb41.55545007_0"	"PISA_rus-KAZ_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2303"	"decrease"	"уменьшается"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2625"	"Halogen"	"Галогенная"	"stimulus_1_stimuluslb4label_51940c102e6424.85106393_0"	"PISA_rus-KAZ_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2847"	"Explain your answer."	"Объясните ваш ответ."	"S648_question4_q4p2_517407af762523.27161688_0"	"PISA_rus-KAZ_SCI_S648-HabitableZone_en15_MS2022.xlf"
"608"	"Bacteria"	"На бактерии"	"S478_question1_question1_3_56cee1d4015449.93881559_0"	"PISA_rus-KAZ_SCI_S478-Antibiotics_en18_MS2022.xlf"
"2299"	"decrease"	"уменьшается"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2301"	"select"	"Выберите"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2382"	"None"	"Нет"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"253"	"Resistance to UV-radiation"	"Устойчивость к ультрафиолетовому излучению"	"S413_question3_q3t4tr5td1_56cee1d38af0f6.72042031_0"	"PISA_rus-KAZ_SCI_S413-PlasticAge_en18_MS2022.xlf"
"2419"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Чтобы ответить на вопрос, перетащите недостатки методов с помощью мыши. &lt;/i&gt;"	"S638_question2_itemDirections2_51804fe1801be5.09391575_0"	"PISA_rus-KAZ_SCI_S638-OilSpills_en15_MS2022.xlf"
"1374"	"Species A"	"Вид A"	"S608_stimulus2_le21_515e3a72353145.75321740_0"	"PISA_rus-KAZ_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2900"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Чтобы ответить на вопрос, перетащите изображения с помощью мыши. &lt;/i&gt;"	"S657_question1_itemDirections1_518050dc4052f0.99989837_0"	"PISA_rus-KAZ_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2452"	"Can this question be answered by scientific experiments?"	"Могут ли научные эксперименты дать ответ на этот вопрос?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_rus-KAZ_SCI_S638-OilSpills_en15_MS2022.xlf"
"2171"	"Low"	"Низкая"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2869"	"Venus"	"Венера"	"S648_stimulus1_le1_517407af7daf63.70073035_0"	"PISA_rus-KAZ_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2378"	"Low"	"Низкая"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2870"	"Earth"	"Земля"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_rus-KAZ_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2703"	"To delete any row of data, click on the delete button next to that row."	"Чтобы удалить любую строку с данными, нажмите кнопку Удалить, расположенную рядом с этой строкой."	"menu_1_menuP4_51940c10331dd6.82051249_0"	"PISA_rus-KAZ_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2271"	"increase"	"увеличится"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2288"	"Explain your answer."	"Объясните ваш ответ."	"question4_1_q04sp2_51940bae428ee9.70288990_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2172"	"Medium"	"Средняя"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2297"	"select"	"Выберите"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1284"	"Birds leave nests"	"Птицы покидают гнёзда"	"S607_stimulus1_sl14_517407135d1832.09141585_0"	"PISA_rus-KAZ_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2170"	"None"	"Нет"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1306"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Посмотрите на задание «Аммониты» справа. Чтобы ответить на вопрос, перетащите факты с помощью мыши.&lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_rus-KAZ_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2173"	"High"	"Высокая"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1450"	"Medium"	"Средний"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_rus-KAZ_SCI_S615-Tsunami_en15_MS2022.xlf"
"2380"	"High"	"Высокая"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2270"	"select"	"Выберите"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2871"	"Mars"	"Марс"	"S648_stimulus1_le3_517407af7db842.87617149_0"	"PISA_rus-KAZ_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2473"	"S629 Solar Cooker"	"S629 Солнечная плита"	"S629_stimulus0_unknownID_51804fe18d9562.55221986_0"	"PISA_rus-KAZ_SCI_S638-OilSpills_en15_MS2022.xlf"
"2383"	"Low"	"Низкая"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2267"	"increase"	"увеличится"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
