"Segment"	"en-ZZ"	"sk-SK"	"ID"	"File"
"2698"	"Halogen"	"halogénová"	"stimulus_1_stimuluslb4label_51940c102e6424.85106393_0"	"PISA_slo-SVK_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2663"	"Halogen"	"halogénová"	"sim_1_q02sim5_51940c102b2833.62847084_0"	"PISA_slo-SVK_SCI_S643-LightBulbs_en15_MS2022.xlf"
"737"	"No"	"NIE"	"S498_question3_question3_2_50ec5cb5d68c38.17806278_0"	"PISA_slo-SVK_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2452"	"Medium"	"stredné"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1017"	"Comparison 1"	"Porovnanie  1"	"S603_question2_question2_7_515e3a720642a8.94038370_0"	"PISA_slo-SVK_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1619"	"Medium"	"Stredný"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_slo-SVK_SCI_S615-Tsunami_en15_MS2022.xlf"
"2376"	"decrease"	"zmenší"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1363"	"Birds and Caterpillars Introduction"	"Vtáky a húsenice: Úvod"	"S607_stimulus1_attr_alt_attr_stimulus1_3_517407135d4900.63824973_0"	"PISA_slo-SVK_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2341"	"decrease"	"sa zmenší"	"question3_1_o3_2_51940bae4048a1.83833544_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2695"	"Incandescent"	"biela"	"stimulus_1_stimuluslb1label_51940c102e5782.07661572_0"	"PISA_slo-SVK_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2234"	"Delete a row of data to run another trial."	"Vymaž riadok s údajmi a spusti ďalší pokus."	"js_translation_deleteMsg_51940bae3450d3.30215634_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"925"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Efekt mestských tepelných ostrovov&lt;/b&gt;&lt;br /&gt; Otázka č."	"S602_question4_qitemTitle4_515e3a71ecc5d8.94269684_0"	"PISA_slo-SVK_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2945"	"Uranus"	"Urán"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_slo-SVK_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2450"	"None"	"žiadne"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1117"	"&lt;i&gt;Refer to &quot;Water from Fog&quot; on the right.  Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Použi informácie z materiálu „Voda získavaná z hmly“ na pravej strane. Klikni na jednu alebo viac možností a odpovedz tak na otázku. &lt;/i&gt;"	"S604_question3_itemDirections3_51804e6bc48859.23680107_0"	"PISA_slo-SVK_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2776"	"To delete any row of data, click on the delete button next to that row."	"Keď chceš vymazať nejaký údajový riadok, klikni na tlačidlo „Vymazať“ vedľa príslušného riadka.  &lt;br /&gt;"	"menu_1_menuP4_51940c10331dd6.82051249_0"	"PISA_slo-SVK_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1881"	"Whales and Shipping Noise"	"Veľryby a hluk  z lodnej dopravy"	"S626_stimulus3_subTitle3_515e3a7276e115.16630132_0"	"PISA_slo-SVK_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2456"	"Low"	"malé"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1907"	"icon1"	"ikona1"	"S626_stimulus3_attr_alt_attr_stimulus3_6_515e3a727770b0.82003406_0"	"PISA_slo-SVK_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2976"	"Caterpillar"	"húsenica"	"S657_question1_source1_518050dc4065d2.43433896_0"	"PISA_slo-SVK_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2659"	"Compact CFL"	"kompaktná CFL"	"sim_1_q02sim3_51940c102b1c94.13513006_0"	"PISA_slo-SVK_SCI_S643-LightBulbs_en15_MS2022.xlf"
"920"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Efekt mestských tepelných ostrovov&lt;/b&gt;&lt;br /&gt; Otázka č."	"S602_question3_qitemTitle3_515e3a71ea4ab2.35582126_0"	"PISA_slo-SVK_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1699"	"S620 Tornadoes Q03"	"S620 Tornáda Q04"	"S620_question3_unknownID_51740713a2e581.39006046_0"	"PISA_slo-SVK_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2455"	"None"	"žiadne"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1364"	"Birds and Caterpillars Introduction"	"Vtáky a húsenice: Úvod"	"S607_stimulus1_attr_alt_attr_stimulus1_4_517407135d4b29.16028951_0"	"PISA_slo-SVK_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2585"	"In this simulation, you will be able to see how different types of light bulbs with different power levels function. The light bulb tester will show the amount of light output (measured in lumens) as well as the light bulb's efficiency (measured in lumens per watt)."	"V tejto simulácii uvidíš, ako fungujú rôzne typy žiaroviek s rôznymi výkonmi. Skúšačka  žiaroviek zobrazí veľkosť svetelného toku (meranú v lumenoch), ako aj účinnosť žiarovky (meranú v lumenoch na watt)."	"question2_1_Q02P1_51940c1020aec2.48208157_0"	"PISA_slo-SVK_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2371"	"increase"	"zväčší"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2790"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Spusti simuláciu a zozbieraj údaje založené na nižšie uvedených informáciách. Klikni na jednu z možností a odpovedz tak na otázku.&lt;/i&gt;"	"question2_1_itemDirections02_51940c10381160.17280342_0"	"PISA_slo-SVK_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2523"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"&lt;i&gt;Klikni na niektoré z možností v tabuľke a odpovedz tak na nasledujúcu otázku.&lt;/i&gt;"	"S638_question4_itemDirections4_51804fe1883094.05290088_0"	"PISA_slo-SVK_SCI_S638-OilSpills_en15_MS2022.xlf"
"2372"	"decrease"	"zmenší"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"130"	"&lt;i&gt;Refer to &quot;Wild Oat Grass&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Použi informácie z textu &amp;bdquo;Ovos hluchý&amp;ldquo; na pravej strane. Klikni na jednu z možností a odpovedz tak na otázku.&lt;/i&gt;"	"S408_question4_itemDirections_4_50ec3a027d9ab3.91147820_0"	"PISA_slo-SVK_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"1478"	"&lt;b&gt;Brain-Controlled Robotics&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Robotika ovládaná mozgom&lt;/b&gt;&lt;br /&gt; Otázka č."	"S610_question4_itemTitle4_51804e6bd26341.00497826_0"	"PISA_slo-SVK_SCI_S610-Brain-controlledRobotics_en15_MS2022.xlf"
"1545"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Introduction"	"&lt;b&gt;Ako pochopiť tsunami &lt;/b&gt;&lt;br /&gt; Úvod"	"question1_1_itemTitle01_5193d35626b6b4.37345644_0"	"PISA_slo-SVK_SCI_S615-Tsunami_en15_MS2022.xlf"
"935"	"higher"	"vyššie"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_slo-SVK_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2782"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Introduction"	"&lt;b&gt;Nanočastice&lt;/b&gt;&lt;br /&gt;Úvod"	"question1_1_itemTitle01_51940c1035ac53.75462781_0"	"PISA_slo-SVK_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2345"	"decrease"	"sa zmenší"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2125"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔  Nezabudni vybrať &lt;b&gt;jednu alebo viac&lt;/b&gt; možností."	"question1_1_q1p3_5193fde59b26d2.60726263_0"	"PISA_slo-SVK_SCI_S634-Vaccination_en15_MS2022.xlf"
"1119"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt;Nezabudni vybrať &lt;b&gt;jednu alebo viac&lt;/b&gt; možností.&lt;/i&gt;"	"S604_question3_q3p2_51804e6bc49453.85399057_0"	"PISA_slo-SVK_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2457"	"Medium"	"stredné"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1465"	"&lt;b&gt;Brain-Controlled Robotics&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Robotika ovládaná mozgom&lt;/b&gt;&lt;br /&gt; Otázka č."	"S610_question2_QitemTitle2_51804e6bcf3483.26385704_0"	"PISA_slo-SVK_SCI_S610-Brain-controlledRobotics_en15_MS2022.xlf"
"961"	"S602 Urban Heat Island Effect"	"S602 Efekt mestkých tepelných ostrovov"	"S602_stimulus2_unknownID_515e3a71f23b87.73675307_0"	"PISA_slo-SVK_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"962"	"Urban Heat Island Effect"	"Efekt mestkých tepelných ostrovov"	"S602_stimulus2_title2_515e3a71f24cb4.43963205_0"	"PISA_slo-SVK_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1908"	"icon2"	"ikona2"	"S626_stimulus3_attr_alt_attr_stimulus3_8_515e3a72777278.54729660_0"	"PISA_slo-SVK_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2451"	"Low"	"malé"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2375"	"increase"	"zväčší"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2943"	"Earth"	"Zem"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_slo-SVK_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2696"	"Compact CFL"	"kompaktná CFL"	"stimulus_1_stimuluslb2label_51940c102e5b47.55394349_0"	"PISA_slo-SVK_SCI_S643-LightBulbs_en15_MS2022.xlf"
"936"	"lower"	"nižšie"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_slo-SVK_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2685"	"Please click on the NEXT arrow to continue."	"Klikni na na šípku ĎALEJ a pokračuj."	"sim_1_automationMsg2_51940c102ba4f1.09359315_0"	"PISA_slo-SVK_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2211"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔  Nezabudni vybrať &lt;b&gt;jednu alebo viac&lt;/b&gt; možností."	"CS634_Q05_p52_5193fde5a49981.31413934_0"	"PISA_slo-SVK_SCI_S634-Vaccination_en15_MS2022.xlf"
"2102"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Prečítaj si úvod. Potom klikni na šípku ĎALEJ. &lt;/i&gt;"	"CS634_intro_itemDirections0_5193fde5976ee6.44142835_0"	"PISA_slo-SVK_SCI_S634-Vaccination_en15_MS2022.xlf"
"2458"	"High"	"veľké"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2244"	"Low"	"malé"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"454"	"&lt;i&gt;Refer to &quot;Graph 1&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Použi informácie z materiálu &amp;bdquo;Graf 1&amp;ldquo; na pravej strane. Klikni na jednu z možností  a odpovedz tak na otázku.&lt;/i&gt;"	"S428_question2_itemDirections2_50ec518dc88e62.20904367_0"	"PISA_slo-SVK_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"2657"	"Incandescent"	"biela"	"sim_1_q02sim2_51940c102b16e1.40689421_0"	"PISA_slo-SVK_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2246"	"High"	"veľké"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2942"	"Venus"	"Venuša"	"S648_stimulus1_le1_517407af7daf63.70073035_0"	"PISA_slo-SVK_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2453"	"High"	"veľké"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2018"	"0"	"1"	"S629_question2_attr_value_attr_S629Q02RADIO_1_1_515e3a7281a746.18023096_0"	"PISA_slo-SVK_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2077"	"S629 Solar Cooker"	"S629 Solárny varič"	"S629_stimulus1_unknownID_515e3a729120f1.15352521_0"	"PISA_slo-SVK_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2209"	"&lt;i&gt;Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Klikni na jednu alebo viac možností a odpovedz tak na otázku.&lt;/i&gt;"	"CS634_Q05_itemDirections5_5193fde5a492d6.48884888_0"	"PISA_slo-SVK_SCI_S634-Vaccination_en15_MS2022.xlf"
"2245"	"Medium"	"stredné"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2546"	"S629 Solar Cooker"	"S629 Solárny varič"	"S629_stimulus0_unknownID_51804fe18d9562.55221986_0"	"PISA_slo-SVK_SCI_S638-OilSpills_en15_MS2022.xlf"
"2243"	"None"	"žiadne"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1523"	"Medium"	"Stredný"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_slo-SVK_SCI_S615-Tsunami_en15_MS2022.xlf"
"2407"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Nezabudni vybrať &lt;b&gt;jednu alebo viac&lt;/b&gt; možností."	"S662_question7_q7p3_51940bae49c112.44979934_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1541"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Prečítaj si úvod. Potom klikni na šípku ĎALEJ. &lt;/i&gt;"	"question0_1_itemDirections00_5193d3562518e5.63977402_0"	"PISA_slo-SVK_SCI_S615-Tsunami_en15_MS2022.xlf"
"2340"	"increase"	"sa zväčší"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Je možné zodpovedať túto otázku pomocou vedeckých experimentov?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_slo-SVK_SCI_S638-OilSpills_en15_MS2022.xlf"
"540"	"&lt;b&gt;Experiment&lt;/b&gt;"	"&lt;b&gt;Pokus&lt;/b&gt;"	"S438_stimulus2_p3_50ec5645b2ffc1.45576811_0"	"PISA_slo-SVK_SCI_S438-GreenParks_en15_MS2022.xlf"
"736"	"Yes"	"ÁNO"	"S498_question3_question3_1_50ec5cb5d68866.25772156_0"	"PISA_slo-SVK_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2344"	"increase"	"sa zväčší"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2973"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Na otázku odpovedz chytením a potiahnutím objektov.&lt;/i&gt;"	"S657_question1_itemDirections1_518050dc4052f0.99989837_0"	"PISA_slo-SVK_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
